FID,OBJECTID,EXPEDIENTE,T_PROCESO,NOMBRE,OBSERV,ID_PROC_PT,COOR_ESTE,COOR_NORTE,Georrefere,Fecha,Sitio,Vereda,Georrefe_1,Orientacio,Orientac_1,Cobertura,Curvatura,Distancia_,Distancia1,Distanci_1,DTM,Geologia,Geomorfolo,NDVI,Orientac_2,Rugosidad,Slope,TPI,UGS
281,"1,054", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f52-FI,0.000000000000000,0.000000000000000, , , , , ,325.000000000000000,0.000000000000000,11,0.0693750,225.0000000,"1,727.9000244",51.5387993,"2,688.5000000",7,69,0.4153770,324.6130066,236,23.4832993,16.7682991,8
282,"1,055", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f53-FI,0.000000000000000,0.000000000000000, , , , , ,347.000000000000000,0.000000000000000,11,0.9309380,250.0000000,"1,661.0400391",25.0000000,"2,715.5000000",7,69,0.2806020,346.7780151,230,27.5195999,23.7502003,8
283,"1,056", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f54-FI,0.000000000000000,0.000000000000000, , , , , ,325.000000000000000,0.000000000000000,15,0.4876560,201.5559998,"1,183.3499756",118.5849991,"2,861.2500000",7,11,0.3444420,304.4150085,202,7.6212702,29.4022999,43
284,"1,057", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f55-FI,0.000000000000000,0.000000000000000, , , , , ,292.000000000000000,0.000000000000000,15,-0.3271880,285.0440063,911.2150269,70.7107010,"2,755.0000000",7,70,0.4336430,290.3789978,232,24.4834003,8.6464796,43
285,"1,058", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f56-FI,0.000000000000000,0.000000000000000, , , , , ,166.000000000000000,0.000000000000000,7,-0.9559380,327.1560059,749.2709961,141.4210052,"2,752.9799805",7,4,0.4311580,166.2669983,134,14.7919998,-15.9640999,43
286,"1,059", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f57-FI,0.000000000000000,0.000000000000000, , , , , ,295.000000000000000,0.000000000000000,16,-0.8245310,0.0000000,"1,280.9300537",113.1920013,"2,699.5200195",7,69,0.5247850,295.3909912,230,21.5386009,-26.1301003,8
287,"1,060", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f58-FI,0.000000000000000,0.000000000000000, , , , , ,338.000000000000000,0.000000000000000,11,0.4517190,240.1170044,"1,492.0600586",0.0000000,"2,706.8000488",7,69,0.2924230,338.3680115,213,13.2030001,5.8513198,8
288,"1,061", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f59-FI,0.000000000000000,0.000000000000000, , , , , ,339.000000000000000,0.000000000000000,15,-2.7925000,250.0000000,"1,468.4699707",75.0000000,"2,734.7900391",7,69,0.3820920,350.4930115,211,14.3737001,-0.0244141,8
289,"1,062", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f60-FI,0.000000000000000,0.000000000000000, , , , , ,324.000000000000000,0.000000000000000,15,2.2464099,301.0400085,"1,543.3800049",37.5000000,"2,735.0000000",7,69,0.3820750,323.5310059,212,11.7832003,14.5761995,8
290,"1,063", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f61-FI,0.000000000000000,0.000000000000000, , , , , ,340.000000000000000,0.000000000000000,15,1.3821900,187.5000000,989.7130127,0.0000000,"2,826.5200195",7,4,0.4505390,323.3099976,197,5.9029298,19.7875996,43
291,"1,064", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f62-FI,0.000000000000000,0.000000000000000, , , , , ,295.000000000000000,0.000000000000000,15,-1.6432800,291.8150024,100.7779999,0.0000000,"2,751.6398926",7,6,0.1562320,294.9200134,219,15.7011995,-16.4993000,43
292,"1,065", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f63-FI,0.000000000000000,0.000000000000000, , , , , ,282.000000000000000,0.000000000000000,15,0.3320310,141.4210052,"1,382.9899902",50.0000000,"2,716.4099121",7,11,0.4771600,283.5669861,217,17.0112000,-0.6601560,43
293,"1,066", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f64-FI,0.000000000000000,0.000000000000000, , , , , ,272.000000000000000,0.000000000000000,16,-0.6082810,67.3145981,"1,822.5200195",112.5000000,"2,596.1599121",7,11,0.4601870,272.2109985,221,27.6341000,-5.5703101,43
294,"1,067", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f65-FI,0.000000000000000,0.000000000000000, , , , , ,5.000000000000000,0.000000000000000,11,-0.0754687,88.3883972,"1,680.8199463",248.1179962,"2,536.5900879",7,69,0.4687800,7.8677902,209,26.1140003,-17.5359001,8
295,"1,068", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f66-FI,0.000000000000000,0.000000000000000, , , , , ,335.000000000000000,0.000000000000000,15,1.0012500,112.5000000,"1,890.8499756",12.5000000,"2,702.0000000",7,11,0.4317960,317.3439941,233,21.5319996,43.4306984,43
296,"1,069", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f67-FI,0.000000000000000,0.000000000000000, , , , , ,212.000000000000000,0.000000000000000,16,-0.0000000,12.5000000,128.6950073,55.9016991,"2,655.0000000",28,70,0.4672370,225.0000000,180,1.1573100,-5.8300800,37
297,"1,070", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f68-FI,0.000000000000000,0.000000000000000, , , , , ,250.000000000000000,0.000000000000000,14,0.2190630,182.0030060,565.2709961,88.3883972,"2,676.6499023",7,3,0.2591140,252.2839966,195,34.3041992,9.5537100,8
298,"1,071", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f69-FI,0.000000000000000,0.000000000000000, , , , , ,25.000000000000000,0.000000000000000,15,-0.0095313,45.0694008,835.5390015,301.0400085,"2,609.7800293",7,3,0.2982140,25.0349007,190,21.4843006,-12.7896004,8
299,"1,072", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f70-FI,0.000000000000000,0.000000000000000, , , , , ,143.000000000000000,0.000000000000000,15,0.5337500,209.5379944,"2,212.5400391",53.0330009,"2,677.3500977",7,10,0.5027280,142.8659973,48,34.3512993,18.9601994,8
300,"1,073", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f71-FI,0.000000000000000,0.000000000000000, , , , , ,138.000000000000000,0.000000000000000,15,2.6835899,189.1589966,"2,156.6799316",88.3883972,"2,736.0000000",7,10,0.5165930,138.2220001,48,34.1349983,9.7849102,8
301,"1,074", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f72-FI,0.000000000000000,0.000000000000000, , , , , ,93.000000000000000,0.000000000000000,15,-0.7714060,128.6950073,"2,139.1101074",132.8769989,"2,755.9599609",7,10,0.4591940,93.0718994,131,17.6898994,11.4714003,8
302,"1,075", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f73-FI,0.000000000000000,0.000000000000000, , , , , ,140.000000000000000,0.000000000000000,15,-0.2214060,79.0569000,"2,253.4699707",35.3553009,"2,492.0000000",7,10,0.4524080,140.3560028,55,32.4642982,-7.1137700,8
303,"1,076", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f74-FI,0.000000000000000,0.000000000000000, , , , , ,306.000000000000000,0.000000000000000,16,-0.2745310,50.0000000,"2,406.2700195",45.0694008,"2,366.8898926",7,52,0.4448750,316.3070068,236,23.2240009,-29.3855000,8
304,"1,077", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f75-FI,0.000000000000000,0.000000000000000, , , , , ,276.000000000000000,0.000000000000000,16,-0.8440630,39.5284996,"2,459.8300781",17.6777000,"2,384.0400391",7,52,0.3938090,275.8989868,216,19.3213005,-23.7695007,8
305,"1,078", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f76-FI,0.000000000000000,0.000000000000000, , , , , ,245.000000000000000,0.000000000000000,12,-2.1040599,90.1388016,"2,559.3601074",45.0694008,"2,433.6999512",7,52,0.3924170,245.4960022,170,45.8195000,7.0820298,8
306,"1,079", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f77-FI,0.000000000000000,0.000000000000000, , , , , ,155.000000000000000,0.000000000000000,12,-1.4768699,187.5000000,"1,063.5999756",45.0694008,"2,860.0000000",7,69,0.2994110,155.2579956,167,4.1451502,20.4169998,8
307,"1,080", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f78-FI,0.000000000000000,0.000000000000000, , , , , ,207.000000000000000,0.000000000000000,12,-0.2667190,185.8260040,"1,198.5000000",12.5000000,"2,835.0000000",7,11,0.4207920,228.8150024,180,5.0623102,9.2158203,43
308,"1,081", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f79-FI,0.000000000000000,0.000000000000000, , , , , ,234.000000000000000,0.000000000000000,14,-0.1784380,398.8259888,17.6777000,88.3883972,"2,752.0000000",7,3,0.3103810,233.6540070,161,36.3508987,-7.4467802,8
309,"1,082", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f80-FI,0.000000000000000,0.000000000000000, , , , , ,290.000000000000000,0.000000000000000,15,0.5056250,12.5000000,570.0880127,87.5000000,"2,676.5000000",7,3,0.1995210,289.7510071,239,32.3602982,-14.6765003,8
310,"1,083", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f81-FI,0.000000000000000,0.000000000000000, , , , , ,314.000000000000000,0.000000000000000,14,-1.3510900,55.9016991,235.8500061,0.0000000,"2,770.7199707",7,3,0.2024550,313.9840088,236,23.1233006,-10.1455002,8
311,"1,084", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f82-FI,0.000000000000000,0.000000000000000, , , , , ,289.000000000000000,0.000000000000000,14,0.4732810,115.2440033,173.6560059,0.0000000,"2,763.8898926",7,3,0.1395000,288.8739929,213,13.5907001,14.3207998,8
312,"1,085", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f83-FI,0.000000000000000,0.000000000000000, , , , , ,228.000000000000000,0.000000000000000,15,-0.9307810,72.8869019,"1,363.0200195",51.5387993,"2,705.0000000",7,11,0.4886950,227.5240021,159,30.2754002,-16.8761997,43
313,"1,086", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f84-FI,0.000000000000000,0.000000000000000, , , , , ,284.000000000000000,0.000000000000000,20,-1.8029701,12.5000000,"1,055.0500488",45.0694008,"2,574.7399902",7,11,0.4236250,283.5069885,215,15.7210999,-33.0136986,43
314,"1,087", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f85-FI,0.000000000000000,0.000000000000000, , , , , ,90.000000000000000,0.000000000000000,12,-0.7835940,62.5000000,"1,515.0300293",206.1549988,"2,693.8601074",7,10,0.4484790,94.9282990,79,31.9587002,-2.7856400,8
315,"1,088", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f86-FI,0.000000000000000,0.000000000000000, , , , , ,332.000000000000000,0.000000000000000,14,-1.0901600,67.3145981,"1,275.5500488",714.2520142,"2,472.5000000",7,70,0.5048470,331.4039917,247,36.7100983,-10.7140999,8
316,"1,089", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f87-FI,0.000000000000000,0.000000000000000, , , , , ,286.000000000000000,0.000000000000000,11,-0.0271875,164.4120026,508.8280029,39.5284996,"2,996.3898926",7,18,0.1242690,285.5870056,226,22.2322006,7.2294898,43
317,"1,090", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f88-FI,0.000000000000000,0.000000000000000, , , , , ,46.000000000000000,0.000000000000000,11,0.8207810,72.8869019,"1,503.1700439",274.1459961,"3,047.5000000",7,18,0.3264110,45.6530991,173,14.6993999,4.4440899,8
318,"1,091", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f89-FI,0.000000000000000,0.000000000000000, , , , , ,202.000000000000000,0.000000000000000,14,-0.0337500,194.0520020,"1,771.6999512",300.0000000,"3,108.6101074",7,6,0.0772151,196.8910065,134,22.3069992,16.8610992,8
319,"1,092", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f90-FI,0.000000000000000,0.000000000000000, , , , , ,274.000000000000000,0.000000000000000,14,-0.9823440,218.3029938,"2,287.3601074",200.3899994,"2,985.0000000",7,6,0.0548053,273.5599976,223,28.8239994,-12.5620003,8
320,"1,093", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f91-FI,0.000000000000000,0.000000000000000, , , , , ,144.000000000000000,0.000000000000000,14,-2.4848399,72.8869019,"1,090.4399414",348.2099915,"2,819.7700195",7,6,0.1146970,129.7680054,62,30.8479996,-23.0354004,8
321,"1,094", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f92-FI,0.000000000000000,0.000000000000000, , , , , ,353.000000000000000,0.000000000000000,7,0.8932810,123.7440033,"1,882.5300293",222.5559998,"2,227.0000000",28,70,0.2017740,353.2690125,214,17.2234993,34.3031998,37
322,"1,095", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f93-FI,0.000000000000000,0.000000000000000, , , , , ,324.000000000000000,0.000000000000000,7,-0.0739063,139.7539978,"1,874.2099609",238.8119965,"2,235.9799805",28,70,0.1997120,318.0459900,227,18.0368004,30.5083008,37
323,"1,096", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f94-FI,0.000000000000000,0.000000000000000, , , , , ,68.000000000000000,0.000000000000000,6,0.4317190,307.4590149,"1,735.5200195",425.0000000,"2,249.5800781",9,65,0.2042130,67.6921005,122,29.6555996,38.6459999,48
324,"1,097", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f95-FI,0.000000000000000,0.000000000000000, , , , , ,15.000000000000000,0.000000000000000,11,0.4935940,83.8525009,"1,782.9499512",336.5729980,"2,300.0000000",28,70,0.1621060,15.4194002,189,6.7376399,20.4480000,37
325,"1,098", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f96-FI,0.000000000000000,0.000000000000000, , , , , ,57.000000000000000,0.000000000000000,11,0.8365630,135.2079926,"1,735.5200195",371.0209961,"2,308.9499512",28,70,0.1653310,25.5060005,188,11.4577999,27.3899002,37
326,"1,099", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f97-FI,0.000000000000000,0.000000000000000, , , , , ,70.000000000000000,0.000000000000000,6,1.5040600,229.4689941,"1,608.6199951",486.2160034,"2,302.3500977",9,65,0.4453410,70.2021027,92,38.6473999,31.9911995,48
327,"1,100", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f98-FI,0.000000000000000,0.000000000000000, , , , , ,79.000000000000000,0.000000000000000,6,0.5196870,332.1329956,"1,536.4799805",515.3880005,"2,325.2099609",28,70,0.3670710,75.1475983,144,17.4552994,42.1442986,37
328,"1,101", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f99-FI,0.000000000000000,0.000000000000000, , , , , ,91.000000000000000,0.000000000000000,16,-1.9972700,45.0694008,"1,339.5999756",660.4920044,"2,018.3399658",9,65,0.3843440,90.5635986,40,43.8292007,-22.1504002,48
329,"1,102", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f100-FI,0.000000000000000,0.000000000000000, , , , , ,11.000000000000000,0.000000000000000,13,2.8911700,139.7539978,"1,171.5400391",606.3469849,"2,007.5000000",7,8,0.2322630,10.5124998,203,17.9661007,17.4811001,8
330,"1,103", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f101-FI,0.000000000000000,0.000000000000000, , , , , ,327.000000000000000,0.000000000000000,16,0.0911719,35.3553009,"1,157.7199707",762.5000000,"1,951.7900391",7,8,0.2237710,312.3240051,213,12.0214005,-23.7738991,8
331,"1,104", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f102-FI,0.000000000000000,0.000000000000000, , , , , ,270.000000000000000,0.000000000000000,14,1.5846900,285.0440063,840.0150146,17.6777000,"2,364.0000000",7,5,0.2506330,270.3980103,218,45.2372017,26.1217995,8
332,"1,105", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f103-FI,0.000000000000000,0.000000000000000, , , , , ,184.000000000000000,0.000000000000000,12,-1.4431300,242.7059937,655.0289917,62.5000000,"2,302.5700684",7,5,0.1863480,184.0749969,102,28.2462997,4.1442900,43
333,"1,106", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f104-FI,0.000000000000000,0.000000000000000, , , , , ,291.000000000000000,0.000000000000000,13,-2.6190600,275.2839966,638.6019897,0.0000000,"2,091.6499023",7,69,0.1725060,290.5169983,241,34.4747009,-21.7075005,8
334,"1,107", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f105-FI,0.000000000000000,0.000000000000000, , , , , ,40.000000000000000,0.000000000000000,13,-0.4000000,611.4790039,287.7720032,106.0660019,"2,293.1699219",7,69,0.1181880,34.2865982,161,39.0379982,10.0964003,8
335,"1,108", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f106-FI,0.000000000000000,0.000000000000000, , , , , ,267.000000000000000,0.000000000000000,13,-0.2131250,100.7779999,225.3470001,282.0130005,"2,165.5200195",7,70,0.3736060,259.7369995,203,18.6961002,-22.2794991,43
336,"1,109", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f107-FI,0.000000000000000,0.000000000000000, , , , , ,177.000000000000000,0.000000000000000,16,0.7660940,91.0014038,497.8080139,425.1839905,"2,215.6599121",7,8,0.1624280,177.4270020,106,25.3363991,20.8136997,8
337,"1,110", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f108-FI,0.000000000000000,0.000000000000000, , , , , ,94.000000000000000,0.000000000000000,11,0.2285940,168.1699982,522.1649780,403.5000000,"2,240.0000000",7,8,0.1728250,328.0880127,184,1.2778900,37.3815994,43
338,"1,111", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f109-FI,0.000000000000000,0.000000000000000, , , , , ,297.000000000000000,0.000000000000000,14,1.2407800,178.9730072,"1,122.6400146",152.5820007,"2,320.6899414",7,5,0.1084590,296.5100098,245,34.8703995,11.5685997,8
339,"1,112", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f110-FI,0.000000000000000,0.000000000000000, , , , , ,269.000000000000000,0.000000000000000,12,0.9865620,162.9799957,737.9240112,112.5000000,"2,541.0000000",7,5,0.1370740,268.9440002,218,29.0256996,25.0783997,8
340,"1,113", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f111-FI,0.000000000000000,0.000000000000000, , , , , ,226.000000000000000,0.000000000000000,12,1.1514100,154.6159973,672.7969971,50.0000000,"2,572.0000000",7,5,0.1404020,228.4909973,154,34.6067009,20.9263000,8
341,"1,114", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f112-FI,0.000000000000000,0.000000000000000, , , , , ,216.000000000000000,0.000000000000000,14,0.7881250,123.1110001,640.3120117,53.0330009,"2,557.5000000",7,5,0.1368330,219.6419983,134,36.5716019,0.8566890,8
342,"1,115", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f113-FI,0.000000000000000,0.000000000000000, , , , , ,175.000000000000000,0.000000000000000,15,-0.7685940,103.0780029,360.5549927,125.0000000,"2,366.5900879",7,11,0.5149380,156.8029938,104,21.8666000,-18.5359001,43
343,"1,116", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f114-FI,0.000000000000000,0.000000000000000, , , , , ,246.000000000000000,0.000000000000000,15,0.9100000,135.2079926,532.9749756,67.3145981,"2,473.6599121",7,11,0.4680830,245.8200073,185,33.5138016,7.9677701,43
344,"1,117", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f115-FI,0.000000000000000,0.000000000000000, , , , , ,266.000000000000000,0.000000000000000,13,0.1415630,291.8150024,445.1119995,111.8030014,"2,613.5200195",7,69,0.4049770,264.8580017,212,24.8393002,5.1916499,8
345,"1,118", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f116-FI,0.000000000000000,0.000000000000000, , , , , ,354.000000000000000,0.000000000000000,16,-0.0200000,25.0000000,517.5059814,364.0050049,"2,574.2900391",7,69,0.5239980,3.4849300,215,29.1613998,-13.2397003,8
346,"1,119", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f117-FI,0.000000000000000,0.000000000000000, , , , , ,15.000000000000000,0.000000000000000,16,-0.8320310,37.5000000,203.4850006,45.0694008,"2,115.0000000",15,33,0.4621610,14.5382004,187,5.1517100,-67.2921982,48
347,"1,120", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f118-FI,0.000000000000000,0.000000000000000, , , , , ,297.000000000000000,0.000000000000000,16,0.6187500,125.0000000,"1,115.0300293",12.5000000,"2,487.0000000",7,11,0.4591610,286.3630066,231,25.8612003,27.8803997,43
348,"1,121", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f119-FI,0.000000000000000,0.000000000000000, , , , , ,194.000000000000000,0.000000000000000,15,0.0001562,221.5010071,"1,472.5100098",35.3553009,"2,573.5000000",7,11,0.4377640,193.8260040,92,35.6232986,-1.8002900,43
349,"1,122", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f120-FI,0.000000000000000,0.000000000000000, , , , , ,341.000000000000000,0.000000000000000,11,0.1485940,279.5079956,"1,661.0400391",170.0180054,"2,647.0000000",7,69,0.4575960,346.9660034,218,18.1361008,-11.0951996,8
350,"1,123", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f121-FI,0.000000000000000,0.000000000000000, , , , , ,317.000000000000000,0.000000000000000,11,-0.8254690,170.0180054,"1,592.8100586",106.0660019,"2,669.6398926",7,69,0.5135550,316.7229919,211,11.0894003,7.6377001,8
351,"1,124", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f122-FI,0.000000000000000,0.000000000000000, , , , , ,37.000000000000000,0.000000000000000,15,-1.1328100,90.1388016,"1,355.0799561",95.1971970,"2,685.0000000",7,69,0.5075950,36.9257011,180,14.9954996,-26.9465008,8
352,"1,125", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f123-FI,0.000000000000000,0.000000000000000, , , , , ,350.000000000000000,0.000000000000000,15,-0.1740630,175.0000000,"1,403.6800537",37.5000000,"2,760.2099609",7,69,0.3438880,349.5199890,214,16.0312996,13.9250002,8
353,"1,126", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f124-FI,0.000000000000000,0.000000000000000, , , , , ,216.000000000000000,0.000000000000000,15,-0.8753130,50.0000000,"1,322.6999512",118.5849991,"2,734.2299805",7,70,0.4760010,218.5370026,165,18.1121998,-13.2517004,43
354,"1,127", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f125-FI,0.000000000000000,0.000000000000000, , , , , ,235.000000000000000,0.000000000000000,15,-0.3909380,72.8869019,"1,249.8100586",87.5000000,"2,772.9199219",7,70,0.3752980,234.7839966,182,13.8795996,-3.4863300,43
355,"1,128", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f126-FI,0.000000000000000,0.000000000000000, , , , , ,348.000000000000000,0.000000000000000,15,0.3528120,187.5000000,"1,382.9899902",37.5000000,"2,765.7199707",7,69,0.3791670,341.9649963,210,12.2279997,15.3779001,8
356,"1,129", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f127-FI,0.000000000000000,0.000000000000000, , , , , ,336.000000000000000,0.000000000000000,15,-0.6050000,201.5559998,"1,375.7399902",39.5284996,"2,763.8400879",7,69,0.4107430,342.6019897,226,21.4347000,12.5145998,8
357,"1,130", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f128-FI,0.000000000000000,0.000000000000000, , , , , ,238.000000000000000,0.000000000000000,15,-0.2937500,142.5220032,"1,685.0899658",95.1971970,"2,693.3701172",7,11,0.4239650,238.0030060,178,27.9801006,-5.5725098,43
358,"1,131", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f129-FI,0.000000000000000,0.000000000000000, , , , , ,209.000000000000000,0.000000000000000,15,-0.4793750,132.8769989,"1,712.5500488",62.5000000,"2,757.9499512",7,11,0.4105440,209.3220062,164,13.0875998,11.9792004,43
359,"1,132", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f130-FI,0.000000000000000,0.000000000000000, , , , , ,184.000000000000000,0.000000000000000,15,0.4868750,178.9730072,"1,842.6400146",125.0000000,"2,757.9199219",7,11,0.4254970,183.9409943,139,16.3642006,13.3540001,43
360,"1,133", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f131-FI,0.000000000000000,0.000000000000000, , , , , ,237.000000000000000,0.000000000000000,15,0.3842190,17.6777000,"1,910.0100098",12.5000000,"2,820.8601074",7,11,0.3249420,237.3000031,183,8.2927198,14.7930002,43
361,"1,134", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f132-FI,0.000000000000000,0.000000000000000, , , , , ,312.000000000000000,0.000000000000000,15,0.3723440,106.8000031,"1,602.7800293",162.9799957,"2,744.5000000",7,11,0.4379840,312.0150146,239,25.2924004,-21.8271008,43
362,"1,135", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f133-FI,0.000000000000000,0.000000000000000, , , , , ,232.000000000000000,0.000000000000000,14,0.2179690,150.5200043,705.0040283,12.5000000,"2,687.9199219",7,5,0.4748540,232.0339966,180,11.9160004,19.9216003,43
363,"1,136", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f134-FI,0.000000000000000,0.000000000000000, , , , , ,300.000000000000000,0.000000000000000,15,-0.3556250,406.9710083,"1,437.5000000",205.0149994,"2,733.6101074",7,70,0.4548620,299.8859863,234,23.2035007,-3.8684101,8
364,"1,137", ,"40,000.000000000000000","40,220.000000000000000",Fotografías aéreas IGAC,AVRP-f135-FI,0.000000000000000,0.000000000000000, , , , , ,32.000000000000000,0.000000000000000,12,-0.0265625,659.6640015,402.5310059,76.0345001,"2,554.5400391",7,62,0.3565780,32.2579002,183,19.0415001,-1.5307600,43
