FID,OBJECTID,EXPEDIENTE,T_PROCESO,NOMBRE,OBSERV,ID_PROC_PT,COOR_ESTE,COOR_NORTE,Georrefere,Fecha,Sitio,Vereda,Georrefe_1,Orientacio,Orientac_1,Cobertura,Curvatura,Distancia_,Distancia1,Distanci_1,DTM,Geologia,Geomorfolo,NDVI,Orientac_2,Rugosidad,Slope,TPI,UGS
14,787, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d15-IS,"4,539,743.673700000200000","1,686,783.615000000000000",Georreferenciado,18/03/2015,Via Motilon-El Encano,El Encanto,Georreferenciado,0.000000000000000,0.000000000000000,12,2.3743801,325.0000000,668.2529907,212.5000000,"3,030.4199219",7,8,0.0977723,219.0809937,173,10.8786001,23.8218002,3
15,788, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d16-IS,"4,533,393.589399999900000","1,688,116.438600000000000",Georreferenciado,18/03/2015,Via Motilon-El Encano,El Encanto,Georreferenciado,0.000000000000000,0.000000000000000,14,0.1287500,195.6560059,557.4780273,502.8049927,"3,268.0600586",7,10,0.0686539,321.5780029,216,13.1789999,2.3171401,43
16,789, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d17-IS,"4,536,555.353500000200000","1,688,973.790700000000000",Georreferenciado,18/03/2015,Via Motilon-El Encano,El Encanto,Georreferenciado,0.000000000000000,0.000000000000000,14,-0.7317190,27.9507999,912.5000000,27.9507999,"3,042.2500000",7,10,0.0495241,136.2299957,154,7.8461499,-32.2009010,8
17,790, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d18-IS,"4,538,659.585199999600000","1,687,031.385000000000000",Georreferenciado,18/03/2015,Via Motilon-El Encano,El Encanto,Georreferenciado,0.000000000000000,0.000000000000000,11,1.4468700,200.0000000,640.5560303,185.8260040,"2,967.8898926",7,8,0.0666872,184.4649963,143,14.9723997,27.6355000,3
18,791, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d19-IS,"4,537,267.406399999700000","1,688,541.884800000100000",Georreferenciado,18/03/2015,Via Motilon-El Encano,El Encanto,Georreferenciado,0.000000000000000,0.000000000000000,14,0.8618750,62.5000000,537.5000000,0.0000000,"3,050.7399902",7,10,0.0552411,94.7566986,110,23.4066010,19.5499992,8
19,792, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d20-IS,"4,537,360.104500000400000","1,688,387.817400000100000",Georreferenciado,18/03/2015,Via Motilon-El Encano,El Encanto,Georreferenciado,0.000000000000000,0.000000000000000,14,0.7310940,76.0345001,385.0729980,139.7539978,"2,991.5900879",7,10,0.0767002,140.2910004,111,19.0771008,-2.9575200,8
20,793, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d21-IS,"4,533,082.309999999600000","1,676,993.969199999900000",Georreferenciado,6/06/2016,Microcuenca el Barbero,San Fernando,Georreferenciado,0.000000000000000,0.000000000000000,14,1.0339100,174.1049957,"2,041.3299561","1,989.4300537","3,260.5000000",11,8,0.0679817,114.0889969,89,25.6973000,25.4130993,15
21,794, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d22-IS,"4,532,432.970999999900000","1,688,087.011299999900000",Georreferenciado,1/08/2016,"Vía La Cocha, Quebrada El Barbero, Vereda La Laguna.",La Laguna,Georreferenciado,0.000000000000000,0.000000000000000,14,-1.2173400,12.5000000,914.5520020,431.7479858,"3,133.6599121",7,10,0.0784785,26.9118996,188,17.9013004,-23.5604992,43
22,795, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d23-IS,"4,532,418.964599999600000","1,688,043.253400000000000",Georreferenciado,1/08/2016,"Vía Pasto - La Cocha, Quebrada El Barbero, Vereda La Laguna.",La Laguna,Georreferenciado,0.000000000000000,0.000000000000000,14,0.1318750,12.5000000,873.2119751,482.8299866,"3,155.2399902",7,10,0.0773423,358.9840088,216,22.9465008,-16.4123993,43
23,796, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d24-IS,"4,533,082.310100000400000","1,676,994.080400000100000",Georreferenciado,1/03/2017,"Vía Pasto - La Cocha, Quebrada El Barbero, Vereda La Laguna.",La Laguna,Georreferenciado,0.000000000000000,0.000000000000000,14,1.0339100,174.1049957,"2,041.3299561","1,989.4300537","3,260.5000000",11,8,0.0679817,114.0889969,89,25.6973000,25.4130993,15
24,797, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d25-IS,"4,520,810.676400000200000","1,697,287.443600000100000",Georreferenciado,12/06/2018,"Vereda Tosoavi, parte baja, cerca al río Pasto.",Tosoavi,Georreferenciado,0.000000000000000,0.000000000000000,15,-2.8690600,229.4689941,743.5139771,0.0000000,"2,405.7099609",7,69,0.3267310,231.8990021,154,38.8008003,-9.0983896,8
25,798, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d26-IS,"4,520,391.979399999600000","1,696,866.895700000000000",Georreferenciado,12/06/2018,Escombrera Briseño, ,Georreferenciado,0.000000000000000,0.000000000000000,16,0.3007810,25.0000000,542.2750244,134.6289978,"2,348.2099609",7,63,0.3004140,270.9119873,207,15.2016001,-12.1885004,43
26,799, ,"40,000.000000000000000","40,240.000000000000000",SIMMA,AVRP-c1-IS,"4,541,472.034599999900000","1,681,825.165100000100000",Georreferenciado,1/05/2010,Vía que rodea la Laguna La Cocha. Sector W del la Laguna La Cocha. Al NW de la Loma Redonda, ,Georreferenciado,0.000000000000000,0.000000000000000,11,-0.4375000,0.0000000,"4,400.4599609",62.5000000,"2,867.8300781",7,70,0.0774487,232.8229980,180,15.2282000,22.9263000,3
27,800, ,"40,000.000000000000000","40,240.000000000000000",SIMMA,AVRP-c2-IS,"4,536,544.817400000100000","1,681,431.625599999900000",Georreferenciado,5/05/2011,Vía que rodea a la Laguna La Cocha. Al sur del cauce de la Quebrada Rio Negro. Al E de la Loma Casanare. Al SE de la Cuchilla El Tábano, ,Georreferenciado,0.000000000000000,0.000000000000000,11,-1.3226600,403.5000000,"1,483.2900391",37.5000000,"2,780.5200195",7,51,0.0384640,55.2806015,157,20.7339001,-6.9147902,43
28,801, ,"40,000.000000000000000","40,240.000000000000000",SIMMA,AVRP-c3-IS,"4,518,895.110299999800000","1,695,456.854499999900000",Georreferenciado,12/06/2018,Ladera Volcán Galeras y Via Pasto-Mapachico_Genoy,Genoy,Georreferenciado,0.000000000000000,0.000000000000000,12,0.7384370,267.5119934,72.8869019,184.5599976,"2,751.0000000",6,62,0.3374850,42.9803009,177,11.7276001,1.1516100,36
29,802, ,"40,000.000000000000000","40,240.000000000000000",SIMMA,AVRP-c4-IS,"4,520,949.935600000400000","1,697,156.045200000100000",Georreferenciado,12/06/2018,Vereda Tosoavi Parte baja.,Tosoavi,Georreferenciado,0.000000000000000,0.000000000000000,15,2.2779701,262.7969971,564.7180176,0.0000000,"2,482.6899414",7,69,0.2496450,260.7990112,190,54.4621010,7.8310499,8
30,803, ,"40,000.000000000000000","40,240.000000000000000",SIMMA,AVRP-c5-IS,"4,519,320.613699999600000","1,696,300.170500000000000",Georreferenciado,12/06/2018,"Ladera Volcán Galeras,Quebrada Vuelta Larga, Carretera - Pasto -",Genoy,Georreferenciado,0.000000000000000,0.000000000000000,10,0.2668750,388.1040039,490.2170105,365.0769958,"2,666.6699219",7,70,0.3824610,228.9909973,179,9.6106701,10.4153004,40
31,804, ,"40,000.000000000000000","40,240.000000000000000",SIMMA,AVRP-c6-IS,"4,519,319.135499999900000","1,695,359.864499999900000",Georreferenciado,12/06/2018,Mapachico-Ladera del Volcán Galeras, ,Georreferenciado,0.000000000000000,0.000000000000000,2,0.0217187,45.0694008,346.6359863,17.6777000,"2,705.8798828",7,70,0.4236040,112.9290009,142,11.6379004,-6.6416001,40
32,805, ,"40,000.000000000000000","40,240.000000000000000",SIMMA,AVRP-c7-IS,"4,520,911.369800000500000","1,696,904.206400000000000",Georreferenciado,12/06/2018,Parte baja Vereda Tosoavi,Tosoavi,Georreferenciado,0.000000000000000,0.000000000000000,15,0.2248440,142.5220032,352.2250061,12.5000000,"2,430.2700195",7,69,0.3129410,231.5090027,157,35.9520988,17.5715008,8
33,806, ,"40,000.000000000000000","40,240.000000000000000",SIMMA,AVRP-c8-IS,"4,518,640.021599999600000","1,695,640.485399999900000",Georreferenciado,12/06/2018,"Ladera Volcán Galeras, vía Pasto- Mapachico - Genoy",Genoy,Georreferenciado,0.000000000000000,0.000000000000000,16,-0.7800000,12.5000000,184.5599976,12.5000000,"2,733.3798828",6,62,0.3301230,82.6715012,155,11.2250004,-7.5300298,43
34,807, ,"40,000.000000000000000","40,240.000000000000000",SIMMA,AVRP-c9-IS,"4,518,887.682099999900000","1,695,486.130100000000000",Georreferenciado,12/06/2018,Curva Larga Cantera Ladera Volcán Galeras, ,Georreferenciado,0.000000000000000,0.000000000000000,12,0.3328120,257.6940002,45.0694008,156.6250000,"2,750.2600098",6,62,0.3045290,62.5340004,168,9.4342499,4.1516099,36
